Lineup #,PG,SG,SF,PF,C,G,F,UTIL,Total Salary,Projected Points
1,Devin Booker (PG/SG) $9800,Malik Monk (PG/SG) $6000,Keon Ellis (SG/SF) $4400,Toumani Camara (PF) $5600,Donovan Clingan (C) $5800,Austin Reaves (PG/SG) $7500,Julius Randle (PF) $7300,Svi Mykhailiuk (SG/SF) $3600,50000,232.4
2,Will Richard (PG) $3200,Grayson Allen (SG/SF) $5700,DeMar DeRozan (SF/PF) $7800,Jimmy Butler (SF/PF) $7700,Domantas Sabonis &nbsp;Q (C) $8900,Jrue Holiday (PG/SG) $5800,Kris Murray (SF/PF) $3200,Shaedon Sharpe (PG/SG) $6900,49200,227.3
3,Dennis Schroder (PG) $5800,Gary Payton II (SG/SF) $3400,Zach LaVine (SG/SF) $8100,Deni Avdija (SF/PF) $7900,Donovan Clingan (C) $5800,James Harden (PG) $8600,Bradley Beal (SG/SF) $5100,Matisse Thybulle (SF) $3400,48100,224.0
4,Austin Reaves (PG/SG) $7500,Devin Booker (PG/SG) $9800,Bradley Beal (SG/SF) $5100,Draymond Green (PF/C) $5900,John Collins (PF/C) $5300,Marcus Smart (SG) $4100,Buddy Hield (SF) $5700,Kyle Filipowski (PF/C) $5400,48800,222.1
5,Malik Monk (PG/SG) $6000,Ace Bailey (SG/SF) $5700,Gary Payton II (SG/SF) $3400,Deni Avdija (SF/PF) $7900,Donovan Clingan (C) $5800,Brandin Podziemski (PG/SG) $6300,Jaden McDaniels (SF/PF) $5600,Jimmy Butler (SF/PF) $7700,48400,220.3
6,Anthony Edwards (PG/SG) $9000,Keon Ellis (SG/SF) $4400,Nigel Hayes-Davis (SF/PF) $3100,Jonathan Kuminga (PF) $6000,Walker Kessler (C) $6500,Brice Sensabaugh (SG) $4200,Julius Randle (PF) $7300,Rudy Gobert (C) $6500,47000,217.7
7,Devin Booker (PG/SG) $9800,Malik Monk (PG/SG) $6000,Bradley Beal (SG/SF) $5100,Julius Randle (PF) $7300,Walker Kessler (C) $6500,Moses Moody &nbsp;Q (SG/SF) $4800,Dillon Brooks (PF) $5100,Derrick Jones Jr. (SF/PF) $3200,47800,216.8
8,Dennis Schroder (PG) $5800,Zach LaVine (SG/SF) $8100,Royce O&#x27;Neale (SF) $4400,John Collins (PF/C) $5300,Donovan Clingan (C) $5800,Donte DiVincenzo (PG/SG) $5500,Matisse Thybulle (SF) $3400,Jimmy Butler (SF/PF) $7700,46000,215.4
9,Luka Doncic (PG) $11500,Kris Dunn (PG/SG) $3700,Ace Bailey (SG/SF) $5700,Jerami Grant (PF) $5200,Naz Reid (PF/C) $5700,Jaylen Clark (SG/SF) $3300,Jonathan Kuminga (PF) $6000,Ivica Zubac (C) $7200,48300,213.0
10,Russell Westbrook (PG) $4800,Austin Reaves (PG/SG) $7500,Gary Payton II (SG/SF) $3400,Ryan Dunn (SF/PF) $4300,Christian Koloko (C) $3000,Anthony Edwards (PG/SG) $9000,Lauri Markkanen (PF) $6700,Keyonte George (PG/SG) $6200,44900,209.3
11,Jrue Holiday (PG/SG) $5800,Brice Sensabaugh (SG) $4200,Kawhi Leonard (SF) $7600,DeMar DeRozan (SF/PF) $7800,Dylan Cardwell (C) $3200,Chris Paul (PG) $4500,Jerami Grant (PF) $5200,Rudy Gobert (C) $6500,44800,204.9
12,Collin Gillespie (PG) $3700,Bradley Beal (SG/SF) $5100,Rui Hachimura (SF/PF) $5500,Jerami Grant (PF) $5200,Quinten Post (C) $4000,Stephen Curry (PG) $9100,Ace Bailey (SG/SF) $5700,James Harden (PG) $8600,46900,204.5
13,Chris Paul (PG) $4500,Brandin Podziemski (PG/SG) $6300,Gary Payton II (SG/SF) $3400,Jarred Vanderbilt (PF) $3800,Naz Reid (PF/C) $5700,Luka Doncic (PG) $11500,Royce O&#x27;Neale (SF) $4400,Donovan Clingan (C) $5800,45400,204.1
14,Devin Booker (PG/SG) $9800,Ace Bailey (SG/SF) $5700,Kawhi Leonard (SF) $7600,Julius Randle (PF) $7300,Quinten Post (C) $4000,Walter Clayton Jr. (PG) $4500,Jaylen Clark (SG/SF) $3300,Buddy Hield (SF) $5700,47900,192.1
15,Donte DiVincenzo (PG/SG) $5500,Gary Payton II (SG/SF) $3400,Kawhi Leonard (SF) $7600,Toumani Camara (PF) $5600,Quinten Post (C) $4000,James Harden (PG) $8600,Rui Hachimura (SF/PF) $5500,Bones Hyland (PG) $3000,43200,185.2
16,Kris Dunn (PG/SG) $3700,Grayson Allen (SG/SF) $5700,Rui Hachimura (SF/PF) $5500,Jerami Grant (PF) $5200,Ivica Zubac (C) $7200,Dennis Schroder (PG) $5800,Doug McDermott (PF) $3000,Lauri Markkanen (PF) $6700,42800,182.1
17,Walter Clayton Jr. (PG) $4500,Shaedon Sharpe (PG/SG) $6900,Grayson Allen (SG/SF) $5700,Naz Reid (PF/C) $5700,Brook Lopez (C) $4100,Zach LaVine (SG/SF) $8100,Nigel Hayes-Davis (SF/PF) $3100,Moses Moody &nbsp;Q (SG/SF) $4800,42900,173.5
18,Walter Clayton Jr. (PG) $4500,Keon Ellis (SG/SF) $4400,Rui Hachimura (SF/PF) $5500,Dillon Brooks (PF) $5100,Drew Eubanks (C) $5000,Moses Moody &nbsp;Q (SG/SF) $4800,Jimmy Butler (SF/PF) $7700,Brandin Podziemski (PG/SG) $6300,43300,172.1
19,Shaedon Sharpe (PG/SG) $6900,Brice Sensabaugh (SG) $4200,Keon Ellis (SG/SF) $4400,Julius Randle (PF) $7300,Dylan Cardwell (C) $3200,Will Richard (PG) $3200,Rui Hachimura (SF/PF) $5500,Bradley Beal (SG/SF) $5100,39800,168.2
20,Walter Clayton Jr. (PG) $4500,Terrence Shannon Jr. (SG/SF) $4000,Grayson Allen (SG/SF) $5700,Naz Reid (PF/C) $5700,Dario Saric (C) $3500,Jrue Holiday (PG/SG) $5800,Gary Payton II (SG/SF) $3400,Jonathan Kuminga (PF) $6000,38600,162.5
